Ingredience,Produkt,ID,URL,Cena,Jednotková cena,Jednotka,Velikost balení,Jednotka balení,Kategorie,Podobnost,Původ kategorie,seznam_receptu,Vhodný produkt
anglická slanina,Ribo Anglická slanina bločky,131857,https://www.kosik.cz/p131857-ribo-anglicka-slanina-blocky,107.946,199.9,kg,540.0,g,Uzeniny a lahůdky > Slaniny,0.759,True,Babiččina sekaná,True
bobkový list,It´s Natural BIO Bobkový list sušený,343044,https://www.kosik.cz/p343044-its-natural-bio-bobkovy-list-suseny,19.9,3316.666666667,kg,6.0,g,Trvanlivé > Koření a ochucovadla > Jednodruhové koření,0.532,True,"svíčková, valašská kyselica",True
brambory,"Brambory konzumní pozdní prané, balení",9867,https://www.kosik.cz/p9867-brambory-konzumni-pozdni-neprane-sit,17.9,17.9,kg,1.0,kg,Ovoce a zelenina > Zelenina > Brambory a batáty,0.497,True,klasická česnečka,True
brusinky nakládané,ARO Brusinky,682052,https://www.kosik.cz/p682052-aro-brusinky-1,28.76,159.777777778,kg,180.0,g,Trvanlivé > Konzervované potraviny > Ovocné kompoty a pyré,0.584,True,svíčková,True
celer,"Celer bulvový praný, 1 ks",9657,https://www.kosik.cz/p9657-celer-bulvovy-prany,52.395,49.9,kg,1.05,kg,Ovoce a zelenina > Zelenina > Mrkev a kořenová zelenina,0.566,True,"kuřecí vývar s játrovými knedlíčky, svíčková",True
cheddar,"Dublin Dairy Cheddar White Mature, bloček",510120,https://www.kosik.cz/p510120-dublin-dairy-cheddar-white-mature-blocek,66.9,334.5,kg,200.0,g,Mléčné a chlazené > Sýry > Prémiové,0.569,True,dokonalý domácí hamburger,True
chilli mleté,Kotányi Mlýnek Chilli Birdseye,776192,https://www.kosik.cz/p776192-kotanyi-mlynek-chilli-birdseye,89.9,3745.833333333,kg,24.0,g,Trvanlivé > Koření a ochucovadla > Mlýnky a koření ve skle,0.535,True,dršťková polévka,True
chilli sušené,Kotányi Mlýnek Chilli Birdseye,776192,https://www.kosik.cz/p776192-kotanyi-mlynek-chilli-birdseye,89.9,3745.833333333,kg,24.0,g,Trvanlivé > Koření a ochucovadla > Mlýnky a koření ve skle,0.51,True,dokonalý domácí hamburger,True
cibule,"Cibule kuchyňská žlutá, síť",9787,https://www.kosik.cz/p9787-cibule-kuchynska-zluta-sit,17.9,35.8,kg,500.0,g,"Ovoce a zelenina > Zelenina > Cibule, česnek a pórek",0.429,True,"Babiččina sekaná, dokonalý domácí hamburger, dršťková polévka, hovězí guláš, klasická česnečka, kuřecí vývar s játrovými knedlíčky, svíčková, valašská kyselica",True
citron,"Citrony, síť",12277,https://www.kosik.cz/p12277-citrony-sit-3,34.9,69.8,kg,500.0,g,Ovoce a zelenina > Ovoce > Citrusy,0.728,True,svíčková,True
