Ingredience,Produkt,URL,Cena,Jednotková cena,Jednotka,Velikost balení,Jednotka balení,Kategorie,Podobnost,Původ kategorie,seznam_receptu,Vhodný produkt
anglická slanina,Dacello Anglická slanina 94 %,https://www.rohlik.cz/1410562-dacello-anglicka-slanina-94,78.9,263.0,kg,300.0,g,Uzeniny a lahůdky > Šunky a slaniny > Slaniny a špeky > V celku,0.734,True,Babiččina sekaná,True
bobkový list,Nadir Bobkový list,https://www.rohlik.cz/1441771-nadir-bobkovy-list,29.9,1196.0,kg,25.0,g,Trvanlivé > Koření a ochucovadla > Jednodruhové koření,0.845,True,"svíčková, valašská kyselica",True
brambory,"Brambory neprané konzumní pozdní, balení",https://www.rohlik.cz/1328143-brambory-neprane-konzumni-pozdni-baleni,91.9,18.38,kg,5.0,kg,Ovoce a zelenina > Zelenina > Brambory,0.537,True,klasická česnečka,True
brusinky nakládané,Kand Brusinky,https://www.rohlik.cz/1303555-kand-brusinky,67.9,357.37,kg,190.0,g,"Trvanlivé > Konzervy, hotovky a instantní pokrmy > Konzervované ovoce",0.655,True,svíčková,True
celer,Celer bulvový 1ks,https://www.rohlik.cz/1350675-celer-bulvovy-1ks,52.55,49.9,kg,1.05,kg,Ovoce a zelenina > Zelenina > Mrkev a kořenová zelenina > Ostatní kořenová zelenina,0.663,True,"kuřecí vývar s játrovými knedlíčky, svíčková",True
cheddar,Miil Cheddar 51% bloček,https://www.rohlik.cz/1406258-miil-cheddar-51-blocek,69.9,279.6,kg,250.0,g,Mléčné a chlazené > Sýry > Bločky a strouhané > Cheddar,0.563,True,dokonalý domácí hamburger,True
chilli mleté,TRS Chilli prášek extra pálivý,https://www.rohlik.cz/1465577-trs-chilli-prasek-extra-palivy,49.9,499.0,kg,100.0,g,Trvanlivé > Koření a ochucovadla > Jednodruhové koření,0.471,True,dršťková polévka,True
chilli sušené,TRS Chilli prášek extra pálivý,https://www.rohlik.cz/1465577-trs-chilli-prasek-extra-palivy,49.9,499.0,kg,100.0,g,Trvanlivé > Koření a ochucovadla > Jednodruhové koření,0.643,True,dokonalý domácí hamburger,True
cibule,"Cibule žlutá velká, síť",https://www.rohlik.cz/1370565-cibule-zluta-velka-sit,39.9,9.98,ks,4.0,ks,"Ovoce a zelenina > Zelenina > Cibule, česnek a pórek > Cibule a šalotky",0.485,True,"Babiččina sekaná, dokonalý domácí hamburger, dršťková polévka, hovězí guláš, klasická česnečka, kuřecí vývar s játrovými knedlíčky, svíčková, valašská kyselica",True
citron,"Citrony balené, síť",https://www.rohlik.cz/1331029-citrony-balene-sit,29.9,59.8,kg,500.0,g,Ovoce a zelenina > Ovoce > Citrusy > Citrony a limetky,0.622,True,svíčková,True
hamburgerová bulka,Bulka řemeslná tmavá,https://www.rohlik.cz/1340591-bulka-remeslna-tmava,13.9,173.75,kg,80.0,g,Pekárna a cukrárna > Slané pečivo > Housky a kaiserky,0.609,True,dokonalý domácí hamburger,True
hlávkový salát,Salát hlávkový (180g+),https://www.rohlik.cz/1287981-salat-hlavkovy-180g,39.9,39.9,ks,1.0,ks,Ovoce a zelenina > Zelenina > Saláty,0.796,True,dokonalý domácí hamburger,True
hovězí dršťky,Toro Hlavečník Hovězí vařené dršťky,https://www.rohlik.cz/1417430-toro-hlavecnik-hovezi-varene-drstky,139.93,199.9,kg,0.7,kg,Maso a ryby > Hovězí a telecí > Kostky a speciality > Speciality,0.676,True,dršťková polévka,True
hovězí maso mleté,MASO! Hovězí mletý polotovar,https://www.rohlik.cz/1409173-maso-hovezi-mlety-polotovar,162.0,269.9,kg,0.6,kg,Maso a ryby > Hovězí a telecí > Mleté polotovary a burgery > Mleté polotovary,0.824,True,dokonalý domácí hamburger,True
hovězí maso pečeně,MASO! Hovězí loupaná plec,https://www.rohlik.cz/1409169-maso-hovezi-loupana-plec,251.94,419.9,kg,0.6,kg,Maso a ryby > Hovězí a telecí > Plec a kližka > Plec,0.773,True,svíčková,True
hořčice dijonská,Maille Originální dijonská hořčice,https://www.rohlik.cz/962175-maille-originalni-dijonska-horcice,98.9,494.5,l,200.0,ml,"Trvanlivé > Kečupy, hořčice a omáčky > Hořčice > Francouzská a dijonská",0.761,True,dokonalý domácí hamburger,True
hořčice plnotučná,Alba Plnotučná hořčice,https://www.rohlik.cz/1462359-alba-plnotucna-horcice,15.9,39.75,l,400.0,ml,"Trvanlivé > Kečupy, hořčice a omáčky > Hořčice > Plnotučná",0.757,True,svíčková,True
