recept_id,recept_nazev,unikatni_id,ingredience_nazev,typ_zpracovani,mnozstvi,jednotka,unit_katalog,prepocet_mnozstvi_na_katalogovou_jednotku,mnozstvi_prepoctene,pocet_porci
1,dršťková polévka,1,cibule,nadrobno pokrájená,1,ks,kg,"0,07","0,07",4
1,dršťková polévka,18,sádlo,,1,PL,kg,"0,012","0,012",4
1,dršťková polévka,3,mouka pšeničná hladká,,1,PL,kg,"0,015","0,015",4
1,dršťková polévka,26,paprika mletá sladká,mletá,1,ČL,kg,"0,003","0,003",4
1,dršťková polévka,5,hovězí dršťky,"předvařené, nakrájené na nudličky",500,g,kg,"0,001","0,5",4
1,dršťková polévka,6,vývar z kostí nebo masa a kořenové zeleniny,,"1,5",l,l,1,"1,5",4
1,dršťková polévka,118,sůl,,1,ČL,kg,"0,005","0,005",4
1,dršťková polévka,100,česnek,drcený,2,stroužek,kg,"0,004","0,008",4
1,dršťková polévka,119,majoránka drhnutá,drhnutá,1,špetka,kg,"0,001","0,001",4
1,dršťková polévka,10,chilli mleté,sušené mleté,1,špetka,kg,"0,001","0,001",4
1,dršťková polévka,11,pepř mletý,čerstvě mletý,1,špetka,kg,"0,001","0,001",4
2,klasická česnečka,12,brambory,oloupané,3,ks,kg,"0,09","0,27",4
2,klasická česnečka,100,česnek,oloupaných,8,stroužek,kg,"0,004","0,032",4
2,klasická česnečka,14,kmín celý,,1,ČL,kg,"0,003","0,003",4
2,klasická česnečka,15,vývar kuřecí,,750,ml,l,"0,001","0,75",4
2,klasická česnečka,119,majoránka drhnutá,drhnutá,2,ČL,kg,"0,003","0,006",4
2,klasická česnečka,1,cibule,oloupaná,1,ks,kg,"0,07","0,07",4
2,klasická česnečka,18,sádlo,,1,PL,kg,"0,012","0,012",4
2,klasická česnečka,11,pepř mletý,čerstvě mletý,1,špetka,kg,"0,001","0,001",4
2,klasická česnečka,20,majoránka čerstvá,,1,snítka,kg,"0,002","0,002",4
3,hovězí guláš,21,kližka hovězí,,1,kg,kg,1,1,4
3,hovězí guláš,11,pepř mletý,mletý,1,PL,kg,"0,015","0,015",4
3,hovězí guláš,23,olivový olej,,1,ČL,l,"0,005","0,005",4
3,hovězí guláš,1,cibule,,500,g,kg,"0,001","0,5",4
3,hovězí guláš,25,rostlinný olej,,3,PL,l,"0,015","0,045",4
3,hovězí guláš,26,paprika mletá sladká,mletá,1,PL,kg,"0,01","0,01",4
3,hovězí guláš,118,sůl,,1,ČL,kg,"0,005","0,005",4
3,hovězí guláš,28,vývar,,200,ml,l,"0,001","0,2",4
3,hovězí guláš,29,rajče,rozpůlené,1,ks,kg,"0,13","0,13",4
3,hovězí guláš,30,skořice mletá,mletá,1,špetka,kg,"0,001","0,001",4
3,hovězí guláš,3,mouka pšeničná hladká,,1,PL,kg,"0,015","0,015",4
3,hovězí guláš,119,majoránka drhnutá,drhnutá,2,PL,kg,"0,01","0,02",4
3,hovězí guláš,105,worcesterská omáčka,,1,ČL,l,"0,005","0,005",4
4,svíčková,34,hovězí maso pečeně,,700,g,kg,"0,001","0,7",4
4,svíčková,35,slanina,na klínky,200,g,kg,"0,001","0,2",4
4,svíčková,36,mrkev,,3,ks,kg,"0,1","0,3",4
4,svíčková,37,celer,,200,g,kg,"0,001","0,2",4
4,svíčková,38,petržel,,1,ks,kg,"0,09","0,09",4
4,svíčková,1,cibule,,2,ks,kg,"0,07","0,14",4
4,svíčková,40,brusinky nakládané,,200,g,kg,"0,001","0,2",4
4,svíčková,41,hořčice plnotučná,,2,PL,kg,"0,02","0,04",4
4,svíčková,42,ocet kvasný,,20,ml,l,"0,001","0,02",4
